Unnamed: 0,file,text,edited
0,dirlkit-quvxaym.wav-3119.wav,طلقى انكاته ما الوالد فقلي ل فاش كيتبسم ولا يهضر في الخاوي ولكن قدر أبوحه فصبشي طريقة يكون أقرب صظيق لوالد في حياتو هنا في أفغانيتة نعرفة الواليد كثر مللي كنت كنعرفهو من قبل كنت قريب ليه و هدشي خلاني نعرف طبايعو مزيان ويتيقفيا وحكيليه شحاله من حاجه دوزها ف صغر مع وارده حتى واكله العصا من عند باب واحد اشكل خاري,طلق النكات اما الوالد فقليل فاش كيتبسم ولا يهضر في الخاوي ولكن قدر أبوحفص بشي طريقة يكون أقرب صديق لوالد في حياتو هنا في أفغانستان عرفت الواليد كثر مللي كنت كنعرفو من قبل كنت قريب ليه و هدشي خلاني نعرف طبايعو مزيان ويتيق فيا ويحكي ليا شحاله من حاجه دوزها ف صغر مع والديه حتى هو كلى العصا من عند باه بواحد اشكل خايب
1,dirlkit-agttghs.wav-74.wav,حاجه وحدة لي مبرزطانييا كيفاش شدوني عنهم في الصبيطار هد المدة كامله خوكم غير من الطبقة الحازقه مكانكسبو ريال أومعند الدار نامنين كيجيبو الفلوس باش نبقى من نشور كثر من عاملين في صبيطار بقى طبيب كيشرح ليه فحالتيو أوأنا كانت تستناه عفوقاش إسكت ومكيتقاداش تزعمت عليه و كلت ليه,حاجه وحدة لي مبرزطاني هيا كيفاش شدوني عندهم في الصبيطار هد المدة كامله خوكم غير من الطبقة الحازقه مكانكسبو ريال أومعند دارنا منين يجيبو الفلوس باش نبقى من نشور كثر من عاملين في صبيطار بقى طبيب كيشرح ليه فحالتي و أنا كانت تستناه عفوقاش إسكت ومكيتقاداش زعمت عليه و قلت ليه
2,dirlkit-quvxaym.wav-3299.wav,دازو ش يامة أو بداو تقارير صحةفية دولية كيكولو بلي طنظيم تلقى عيضه للي كيتزعمو الوالض ولي واقف مرتش في جرت سافين الحربية واش هدي زعمايا لاهجمة لي كالي داك دري صاحبي الحت ديالي كاللي لا حيت عشار ارواحد لي طاحت في الواجوهوم قلم من تدمير لي وقع فلا وجهوم تصفوعارات جداتي مت الوالد جات عدعهم من أفغانيس,دازو شي يامات أو بداو تقارير صحافية دولية كيكولو بلي تنظيم ت القاعدة للي كيتزعمو الوالد ولي واقف مورالتفجير ت السفينة الحربية واش هدي زعمايا الهجمة لي قالي داك دري صاحبي الحدس ديالي قاللي لا حيت عشار الرواح  لي طاحت في الهجوم قلم من تدمير لي وقع فالهجوم تالسفارات جداتي مت الوالد جاتها دعوة من أفغانستان
3,dirlkit-mzhcbeg.wav-2468.wav,أ الواعد ولا لبحركيف مطرا لبزا فدولا هاد الحومه ف بورقراق فلاهما تكونو بيهن طنجة أو سبانيه تمنت الحلم بلعيجه فيقاره أخر رجعو صطاح للي تجبدنا فيه أنا عبد رحمان كل واحد مفرش نصبطانيا باع ليا ومغطيب نص لاخر ج وزوين كسما عامرا بالنجوم طيابلعنب طالقة علينا صوتو اللي حول نجوم أواتواسعد الصطاح,أ الواعد ولا لبحركيف مطرا لبزاف دولاد الحومه ف بورقراق فلاهما تكونو بين طنجة أو سبانيا تمن الحلم بلعيشة ف قاره أخرة نرجعو للصطاح للي تجبدنا فيه أنا  وعبد رحمان كل واحد مفرش نص بطانيا باليا ومغطي ب نص لاخر جو زوين سما عامرا بالنجوم طياب لعنب طالق علينا صوتو اللي حول نجوم أو تواسع د الصطاح
4,dirlkit-hpdsuln.wav-1651.wav,دخلنا عاود القصر مشى حتى عندو واحد القبطا سميتوبو جمعه من الناس القراب الملايعبط الله كاليه عبابو نتا عارف فين خبا و هاد الخوانة المالي و مباغيش تكول القبطا نف قسيم بله مون كولونيل معارف شي حاجه عاود عبابو نفس سؤال ورد عليها بوجمعه بنفس الجواب أو هاد القضية,دخلنا عاود القصر مشى حتال عند واحد القبطان سميتو بوجمعه من الناس القراب ل مولاي عبد الله كاليه عبابو نتا عارف فين خباو هاد الخونة الماليك و مباغيش تكول القبطان نفى اقسيم بلله  ا مون كولونيل معارف شي حاجه عاود عبابو نفس سؤال ورد عليها بوجمعه بنفس الجواب أو هاد القضية
5,dirlkit-honnbdk.wav-1242.wav,تفكر داكشي اللي ينسا تصحةق هد اسينين كامله حياتهم ولات كتبدا بطواليعط تصطيله لوضو كتسالي بالمصاوط أو العزكر أو اتفرشيخ تفكرو الناس بالي كاينه حياة خرا على برا أو هديك هي الأصل هدشي اللي واقع دابا ولإكسيبسيو كيسرح بنادم بعقلو الوالدي الناس الي عزاز عليه أو كتبقى دور ليك بزاف دالأسئلا ف راسك فين,تفكر داكشي اللي ينسا تصحة هد سينين كامله حياتهم ولات كتبدا بطواليط تصطيله لوضو كتسالي بالمصاوط أو العسكر أو التفرشيخ تفكرو الناس بالي كاينه حياة خرا على برا أو هديك هي الأصل هدشي اللي واقع دابا هولإكسيبسيو كيسرح بنادم بعقلو الوالدين الناس الي عزاز عليه أو كتبقى دور ليك بزاف د الأسئلة ف راسك فين
6,dirlkit-quvxaym.wav-2978.wav,ا جوج واحد انهار وياز وحده من البلاغي ديالنا أوشير علينا بيها ولات حاجه عادية ف حياتنا يتخطا دهرنا أو رجلا هنا بالأتار ديال ضرب أو اتفرشيه خليهك غي عطيانا من قبل في لسعودية كانو شوافريات ديالنا هما للي كيعطفو عليه هأنا فاش عرفو بليه الواليد مزيرنا لواحد اطرجة خاعبه بداو كيضبرو علي عينا ف شويه هاد صريف وخا,ا جوج واحد انهار زهو يهز وحده من البلاغي ديالنا أوشير علينا بيها ولات حاجه عادية ف حياتنا يتغطا ظهرنا أو رجلينا بالأتار ديال ضرب أو اتفرشيخ لي كايعطينا من قبل في لسعودية كانو شوافريات ديالنا هما للي كيعطفو علينا فاش عرفو بلي الواليد مزيرنا لواحد الدرجة خايبه بداو كيضبرو عليينا ف شويه د الصريف وخا
7,dirlkit-mzhcbeg.wav-2660.wav,كلتليهم معمتي أو وعلاش مطلقاش بعلك ربي ف ولد ما ديا الوج نقزات جدق معاته أو كات ليها راه كتليك موكلهه أو باينه حتى نتي شاد فيك اسحور لي كتمشي تزوريها مرا ضاري نتي را ماشي غدقتي من مخق ظبع نتي راكلي تي وجبعتي هنا طلقات ديك الباتي أوالواحد ضحكه أو دارت لي عند عمي حاميد كاتليه فوقاش غادي نفرحو ب,كلتليهم عمتي أو وعلاش مطلقاش بالك يربي ف ولد ما ديالوش نقزات جدة قمعاتها أو كاتليها راه كتليك موكلاه أو باينه حتى نتي شاد فيك السحور لي كتمشي تزوريها مورا ضهري نتي را ماشي غا دقتي من مخق ظبع نتي راكليتي وشبعتي هنا طلقات ديك الباتول واحد ضحكه أو دارت لعند عمي حميد كاتليه فوقاش غادي نفرحو ب
8,dirlkit-agttghs.wav-351.wav,راحنا فالمغربة معلم فأي الحضار قدرور يقرقبو عليا كاليه سيمو عجي علاش منديروش مع المحامل نفس البلا الي درنا مع البزناس المينية فكا أصاحبي كتليه هديك الخربه غنصلحوها أو نطلقوها حيت له بقا تحتيدينا غدي تكدم أنا من هاد النهار بدات الحضويه,راحنا فالمغرب  ا معلم فأي لحظة يقدرو يقرقبو عليا كاليه سيمو اجي علاش منديروش مع المحامي نفس البلان الي درنا مع البزناس المينية تفكها أصاحبي كتليه هديك الخربه غنصلحوها أو نطلقوها حيت لا بقات تحت يدينا غدي تكدمنا من هاد النهار بدات الحضيه
9,dirlkit-hpdsuln.wav-1915.wav,بي داد شهر أو هو كيتحاور مع دوك اصوات مراها بدا كيغوت على صحابو فيالفوج ولي كاينين فالكشو التاني ممعاناش هنا من لي ملقاجوه بصحابليه واش تلقو صرا عشرانو أو هنا بدا كيخبط في البابة الحديد بجهدو كامل و هشنو كان هن كيكول تلقوني   باغي نخرج ف,داز شهر أو هو كيتحاور مع دوك اصوات مراها بدا كيغوت على صحابو ف الفوج ولي كاينين فالكاشو التاني ممعاناش هنا من لي ملقا جواب صحابليه  واش تلقو صراح عشرانو أو هنا بدا كيخبط في الباب ت الحديد بجهدو كامل و هشنو كان هن كيكول تلقوني   باغي نخرج فحالي 
